id_proyecto,Proyecto,Descripción del proyecto,Proyectos de exportación estratégica de largo plazo (PEELP),empresa,titular_proyecto,CUIT,sector,subsector,provincia,localidad_region,Monto (mill. USD),Activos Computables (mill. USD),Empleos (directos e indirectos),Estado administrativo,fecha_presentacion,fecha_adhesion_rigi,fecha_publicacion_bo,fecha_aprobacion,norma_aprobacion,link_norma,Fuentes,Clasificación preexistencia BO,Justificación preexistencia BO
7,Proyecto de Licuefacción de Gas Natural (FLNG - Southern Energy),instalación de una planta flotante de licuefacción de gas natural para obtener Gas Natural Licuado (GNL),Sí,Pan American Energy (PAE) (Argentina); YPF S.A. (Argentina); Pampa Energía (Argentina); Harbour Energy (Reino Unido); Golar LNG (Noruega),Southern Energy S.A.,30-71858062-1,Petróleo y Gas,Licuefacción,Río Negro,Patagonia,6878,2825,836,Aprobado,2024-11-21,2025-04-28,2025-04-29,2025-04-29,Res. 559/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/324772/20250505,Res. 559/2025; Globaris; MECON,No,"La resolución para la planta de Licuefacción de Gas Natural (FLNG) describe la instalación de una planta flotante de GNL y conexión a gasoductos, sin señalar etapas previas ni ampliaciones."
13,Vaca Muerta Oleoducto Sur (VMOS),"consiste en la construcción y desarrollo de un oleoducto, Iincrementar la capacidad de transporte y almacenamiento de petróleo crudo viabilizando la exportación de hidrocarburos provenientes de la formación “Vaca Muerta”",Sí,YPF S.A. (Argentina) · Pan American Energy (PAE) (Argentina) · Vista Energy (Argentina) · Pampa Energía (Argentina) · Pluspetrol (Argentina) · Chevron (Estados Unidos) · Tecpetrol S.A. (Argentina) · Shell (Reino Unido) · Gas y Petróleo del Neuquén S.A. (Argentina),VMOS S.A.,30-718713354,Petróleo y Gas,Midstream,Río Negro,Patagonia,3050,2486,3108,Aprobado,2024-11-15,2025-03-06,2025-03-20,2025-03-20,Res. 302/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/322830/20250321,Res. 302/2025; Globaris; MECON,No,La resolución del oleoducto VMOS describe la construcción de un oleoducto de 437 km y terminales de exportación para incrementar la capacidad de transporte de petróleo; no se mencionan ampliaciones de un oleoducto existente.
33,Proyecto Los Azules,"desarrollo (factibilidad, permisos) y la construcción de mina, planta e infraestructura asociada para extraer y procesar cátodos de cobre",Sí,McEwen Copper Inc. (Canadá),Andes Corporación Minera SA (ACM),30-70952278-3,Minería,Cobre,San Juan,Cuyo,2672.171,2354,7391,Aprobado,2025-07-11,2025-09-25,2025-10-13,2025-10-13,Res. 1553/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/332807/20251014,Res. 1553/2025; Globaris; MECON,Ambiguo,"La norma del Proyecto Los Azules menciona que el objetivo es completar el desarrollo (factibilidad y permisos) y construir la mina y planta, lo que sugiere que hay estudios y permisos previos; sin embargo, no se identifica claramente la existencia de una operación activa previa."
10,Proyecto Rincón,"extracción directa de litio, nanofiltración y pretratamiento de salmuera que posibilitarán la extracción de litio sin la necesidad de concentración previa en piletas de evaporación, lo que reducirá significativamente el impacto ambiental y la alteración del paisaje, a la vez que también permitirá reducir la generación de residuos y la necesidad de reactivos químicos en el proceso.",Sí,Rio Tinto (Reino Unido),Rincón Mining Pty Ltd.,30-70708643-9,Minería,Litio,Salta,NOA,2744,2299,1985,Aprobado,2025-02-25,2025-05-19,2025-05-30,2025-05-30,Res. 735/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/326364/20250603,Res. 735/2025; Globaris; MECON,Sí,"La resolución del Proyecto Rincón detalla que la producción provendrá tanto de la planta Rincón 3000, con capacidad de 3.000 t de LCE, como de la construcción y operación de dos plantas “Rincón Full Potential” de 25.000 t cada una, mostrando que el proyecto amplía una planta existente."
9,PSJ Cobre Mendocino,"Desarrollo, extracción y procesamiento de minerales sulfurados de cobre con recuperación de oro como subproducto del yacimiento “San Jorge”, y contempla la construcción y operación de una mina a cielo abierto y una planta concentradora basada en técnicas de flotación convencional",No,Zonda Metals GmBH (Suiza); Alberdi Energy (Argentina),Minera San Jorge SA,30-69228382-8,Minería,Cobre,Mendoza,Cuyo,613.43,613.43,6300,Aprobado,2025-11-06,2026-05-13,2026-05-26,2026-05-26,Res. 801/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/342483/20260528,Res. 801/2026; Globaris; MECON,No,"La norma del proyecto PSJ Cobre Mendocino expone la construcción y operación de una nueva mina a cielo abierto y planta concentradora en el yacimiento San Jorge, sin referencias a fases anteriores ni instalaciones preexistentes."
3,Carbonatos Profundos (DCP),"exploración de las concesiones mineras Gualcamayo 1 y Gualcamayo 2 y la determinación de la factibilidad del yacimiento de reservas minerales de oro y plata denominado “Carbonatos Profundos”, y la construcción, puesta en marcha y operación de la planta de tratamiento de dichos minerales extraídos del Proyecto",No,Aisa Group (Canadá),Minas Argentinas S.A.,30-71915462-6,Minería,Oro y Plata,San Juan,Cuyo,519.647,519.647,4500,Aprobado,2025-06-06,2025-11-27,2026-01-13,2026-01-13,Res. 6/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/337468/20260115,Res. 6/2026; Globaris; MECON,No,"La norma del proyecto Carbonatos Profundos describe la exploración de las concesiones Gualcamayo 1 y 2 y la construcción de una planta de tratamiento, sin referencias a fases previas o ampliaciones."
1,Ampliación del Tramo I del Gasoducto Perito Francisco Pascasio Moreno (GPM),"construcción, financiamiento y Operación y Mantenimiento (O&M) de la infraestructura involucrada para generar una capacidad incremental de catorce millones de metros cúbicos por día (14 MMm³/d) al Tramo I del Gasoducto Francisco Pascasio Moren",No,TGS (Argentina),Transportadora de Gas del Sur S.A. Sucursal Dedicada 1,30-71881250-6,Petróleo y Gas,Midstream,Neuquén; Buenos Aires,"Desde Tratayén, Neuquén, hasta Salliqueló, Buenos Aires",550,513.372,7535,Aprobado,2025-10-27,2026-04-30,2026-05-12,2026-05-12,Res. 676/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/341877/20260513,"Res. 676/2026, Globaris; MECON",Sí,"La resolución describe la “Ampliación del Tramo I” del Gasoducto Perito Francisco Moreno, instalando compresoras para aumentar la capacidad de un gasoducto ya existente, lo cual prueba que el proyecto es una ampliación de un activo preexistente."
2,Diablillos,"comprende actividades destinadas a la factibilidad, desarrollo, ejecución y operación del yacimiento de oro y plata “Diablillos”, integrado por quince (15) concesiones mineras contiguas y superpuestas en la zona limítrofe entre las provincias de Salta y Catamarca",No,AbraSilver Resource Corp. (Canadá),Pacific Rim Mining Corporation Argentina S.A.,30-67305977-1,Minería,Oro y Plata,Salta; Catamarca,NOA,481.7,481.7,2013,Aprobado,2025-11-20,2026-02-27,2026-05-07,2026-05-07,Res. 562/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/341756/20260511,Res. 562/2026; Globaris; MECON,No,La resolución para el proyecto Diablillos detalla la construcción de una planta de procesamiento y obras asociadas para un yacimiento de oro y plata sin mencionar expansiones ni proyectos previos.
14,Ampliación Fases 8 y 9 del Sistema de Lixiviación en Valle de Mina Veladero,"Proyecto de ampliación comprende la construcción, puesta en marcha y operación de nuevas plataformas del sistema de lixiviación en el valle, definido como el sistema de procesamiento de mineral en la mina Veladero donde se apila el material y se irriga con soluciones para lixiviar el oro y la plata de la mina Veladero, denominadas “Fase 8 y Fase 9”, así como la posterior exportación de los metales preciosos (bullion doré, una aleación de oro y plata) contenidos en el mineral",No,Barrick Gold Corporation (Canadá); Shandong Gold (China),Minera Andina del Sol S.R.L. Sucursal Dedicada 1 (“MAS-SD1”),30-71906943-2,Minería,Oro y Plata,San Juan,Cuyo,380.116,380.116,1048,Aprobado,2025-08-04,2026-01-28,2026-03-30,2026-03-30,Res. 413/2026,https://www.boletinoficial.gob.ar/detalleAviso/primera/340249/20260401,Res. 413/2026; Globaris; MECON,Sí,"La resolución para las Fases 8 y 9 del Sistema de Lixiviación en Valle de Mina Veladero señala que se trata de una ampliación de un proyecto preexistente (Fases 1–7), agregando nuevas fases al sistema de lixiviación."
8,Proyecto Siderúrgico Argentino Sidersa,"construcción y puesta en operación de una nueva planta de aceros largos, que incluye tanto la acería como la laminadora continua en tándem, de menores emisiones de dióxido de carbono (CO2) respecto de las tecnologías tradicionales y bajo un modelo de producción de economía circular que permitirá reducir el consumo de recursos naturales y disminuir la huella ambiental a partir del uso de un noventa y nueve coma cinco por ciento (99,5%) de chatarra como materia prima",No,Sidersa S.A. (Argentina),Sidersa Acería S.D.E.,33-71879284-9,Siderurgia,Siderurgia,Buenos Aires,Buenos Aires,286.278,286.278,3800,Aprobado,2024-12-12,2025-05-30,2025-07-21,2025-07-21,Res. 1028/2025,https://www.boletinoficial.gob.ar/detalleAviso/primera/328690/20250722,Res. 1028/2025; Globaris; MECON,No,El Proyecto Siderúrgico Argentino Sidersa consiste en construir y poner en marcha una nueva planta de acería y laminación de aceros largos; la resolución no indica ampliaciones de plantas existentes.
